imdb_id,name,magnet,quality,size,source,fileIdx,filename,provider
tt4154664,Capitana Marvel [BluRay Rip][AC3 5.1 Castellano][2019].avi,magnet:?xt=urn:btih:29b69ff44e03075e4db6db03c3c25ef7428bbb4c&dn=Capitana%20Marvel%20%5BBluRay%20Rip%5D%5BAC3%205.1%20Castellano%5D%5B2019%5D.avi&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,SD,2.21 GB,torrentio-api,,Capitana Marvel [BluRay Rip][AC3 5.1 Castellano][2019].avi,MejorTorrent
tt4154664,Capitana Marvel [MicroHD 1080p][AC3 5.1-DTS 5.1-Castellano-AC3 5.1 Ingles+Subs][ES-EN],magnet:?xt=urn:btih:e8ddd048dada141e3ed737ef4ec1afde6fc6359f&dn=Capitana%20Marvel%20M1080.descargas2020.org.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,6.38 GB,torrentio-api,3,Capitana Marvel M1080.descargas2020.org.mkv,MejorTorrent
tt10872600,Spider-Man No Way Home.2022.1080p.dual-lat.cinecalidad.lol1.mp4,magnet:?xt=urn:btih:71c397dc62459c2b681e20c6d321d1f351804f84&dn=Spider-Man%20No%20Way%20Home.2022.1080p.dual-lat.cinecalidad.lol1.mp4&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,3.15 GB,torrentio-api,,Spider-Man No Way Home.2022.1080p.dual-lat.cinecalidad.lol1.mp4,Cinecalidad
tt10872600,El.hombre.sin.memoria.2025.WEB-DL.1080p-Dual-Lat,magnet:?xt=urn:btih:b767d273d88aba60c38620cddc8e60f5f1ba0875&dn=El.hombre.sin.memoria.2025.WEB-DL.1080p-Dual-Lat.mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,3.23 GB,torrentio-api,2,El.hombre.sin.memoria.2025.WEB-DL.1080p-Dual-Lat.mkv,Cinecalidad
tt15398776,Oppenheimer (2023).1080p.dual-lat.cinecalidad.com.mx.mp4,magnet:?xt=urn:btih:6a6e01be8e79fe8c88a1292523b98cd09d837c50&dn=Oppenheimer%20(2023).1080p.dual-lat.cinecalidad.com.mx.mp4&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,3.38 GB,torrentio-api,,Oppenheimer (2023).1080p.dual-lat.cinecalidad.com.mx.mp4,Cinecalidad
tt15398776,Oppenheimer (2023) [Bluray 720p][Esp],magnet:?xt=urn:btih:a653d192b7865798367ec6f38be14d22557fef1b&dn=Oppenheimer%20(2023)%20%5BBluray%20720p%5D%5BEsp%5D(wolfmax4k.com).mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,720p,6.66 GB,torrentio-api,,Oppenheimer (2023) [Bluray 720p][Esp](wolfmax4k.com).mkv,MejorTorrent
tt13238346,Vidas pasadas (Past Lives) [Bluray 720p][Esp](wolfmax4k.com),magnet:?xt=urn:btih:97c48eb3669244d1b0d23c14f647b9f5e9fd783e&dn=Vidas%20pasadas%20(Past%20Lives)%20%5BBluray%20720p%5D%5BEsp%5D(wolfmax4k.com).mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,720p,5.04 GB,torrentio-api,,Vidas pasadas (Past Lives) [Bluray 720p][Esp](wolfmax4k.com).mkv,MejorTorrent
tt13238346,Vidas pasadas (2023).1080p.dual-lat.cinecalidad.com.mx.mp4,magnet:?xt=urn:btih:e0c2f0a0e69f5a33c56f652474ade03c8f699029&dn=Vidas%20pasadas%20(2023).1080p.dual-lat.cinecalidad.com.mx.mp4&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,2.42 GB,torrentio-api,,Vidas pasadas (2023).1080p.dual-lat.cinecalidad.com.mx.mp4,Cinecalidad
tt27503384,Perfect Days (2023) [Bluray 720p][Esp],magnet:?xt=urn:btih:940253d6f68d1a61fc2ee23d7fc0537b74c6be1d&dn=Perfect%20Days%20(2023)%20%5BBluray%20720p%5D%5BEsp%5D(wolfmax4k.com).mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,720p,4.95 GB,torrentio-api,,Perfect Days (2023) [Bluray 720p][Esp](wolfmax4k.com).mkv,MejorTorrent
tt27503384,Perfect Days (2023) [Bluray 1080p][Esp],magnet:?xt=urn:btih:8dbd8d46a6ea0c4c604203d091e3b4f46d0abf4d&dn=Perfect%20Days%20(2023)%20%5BBluray%201080p%5D%5BEsp%5D(wolfmax4k.com).mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,11.8 GB,torrentio-api,,Perfect Days (2023) [Bluray 1080p][Esp](wolfmax4k.com).mkv,MejorTorrent
tt29623480,Robot Salvaje (2024) [Bluray 720p][Esp],magnet:?xt=urn:btih:db5c9e1b52f3eb082ca6d213f75c078f90d2030e&dn=Robot%20Salvaje%20(2024)%20%5BBluray%20720p%5D%5BEsp%5D(wolfmax4k.com).mkv&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,720p,4.87 GB,torrentio-api,,Robot Salvaje (2024) [Bluray 720p][Esp](wolfmax4k.com).mkv,Wolfmax4k
tt29623480,The.wild.robot.2024.1080p-dual-lat-cinecalidad.re.mp4,magnet:?xt=urn:btih:e58c97e5fad4317927a3ba241f4c012ff3904c15&dn=The.wild.robot.2024.1080p-dual-lat-cinecalidad.re.mp4&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A6969%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce,1080p,1.82 GB,torrentio-api,,The.wild.robot.2024.1080p-dual-lat-cinecalidad.re.mp4,Cinecalidad
